Fecha,2026-03-31 21:03:12
Archivo de órdenes,/ros2_ws/src/mission/orders_8_Bogota.json
"Referencia (lat,lon)","4.701600, -74.146900"

Métrica,Ruta secuencial,Ruta optimizada,Mejora (%)
Distancia total (m),165990.33,164140.39,1.11
Tiempo estimado (s),33198.07,32828.08,1.11
Consumo batería (%),16.60,16.41,1.11
Eficiencia (m/s),5.00,5.00,0.00

Orden óptimo (IDs)
4,"Cra. 91 N° 147-55 Lcs 11, Bogota"
3,"Transversal. 6 N ° 27-10 Oficina 701, Bogota"
5,"CALLE 153 96-42 Suba, Bogota"

"Waypoints locales (x,y) - Orden original"
3,74703.50,33595.99,"Transversal. 6 N ° 27-10 Oficina 701, Bogota"
4,6855.59,3771.18,"Cra. 91 N° 147-55 Lcs 11, Bogota"
5,6613.12,5264.86,"CALLE 153 96-42 Suba, Bogota"
