Fecha,2026-04-01 21:56:49
Archivo de órdenes,/ros2_ws/src/mission/orders_8_Bogota.json
"Referencia (lat,lon)","4.701600, -74.146900"

Métrica,Ruta secuencial,Ruta optimizada,Mejora (%)
Distancia total (m),34478.36,34478.36,0.00
Tiempo estimado (s),6895.67,6895.67,0.00
Consumo batería (%),3.45,3.45,0.00
Eficiencia (m/s),5.00,5.00,0.00

Orden óptimo (IDs)
3,"Transversal 6 N° 27-10 Oficina 701, Bogotá, Colombia"
4,"Cra. 91 N° 147-55 Lcs 11, Bogotá, Colombia"

"Waypoints locales (x,y) - Orden original"
3,8681.92,-9724.00,"Transversal 6 N° 27-10 Oficina 701, Bogotá, Colombia"
4,6855.59,3771.18,"Cra. 91 N° 147-55 Lcs 11, Bogotá, Colombia"
